drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
verapamil,81,225.2,1.156,NA,NA,NA,NA,85130000,1.921,55000,0.9474,NA,NA,493.4,1.044
verapamil,81,188.7,1.197,NA,NA,NA,NA,1.84E+08,5.384,2042,3.174,NA,NA,445,1.122
verapamil,81,222,1.167,NA,NA,NA,NA,39330000,5.25,1440,4.904,NA,NA,444.7,1.002
verapamil,81,181.2,1.09,NA,NA,NA,NA,31320,5.695,1440,4.904,NA,NA,496.9,1.05
verapamil,81,195.4,1.036,NA,NA,NA,NA,57110000,0.6002,1855,2.239,NA,NA,485,1.451
verapamil,81,166.2,0.8972,NA,NA,NA,NA,667400,3.588,877700,4.174,NA,NA,583.3,1.176
verapamil,81,203.4,1.288,NA,NA,NA,NA,97670000,9.859,98920000,7.123,NA,NA,543.6,1.182
verapamil,81,184.4,1.054,NA,NA,NA,NA,5436,3.446,643200000,8.108,NA,NA,578.7,1.082
verapamil,81,193.6,1.145,NA,NA,NA,NA,5037,3.689,102800000,1.792,NA,NA,442.9,1.224
verapamil,81,200.2,1.385,NA,NA,NA,NA,167800000,4.069,54640,0.5083,NA,NA,458.1,1.069
verapamil,81,128.8,1.16,NA,NA,NA,NA,5350000,8.778,54640,0.5083,NA,NA,519.6,1.116
verapamil,81,189,1.143,NA,NA,NA,NA,103300,4.208,2104,1.72,NA,NA,445.1,1.06
verapamil,81,179,1.175,NA,NA,NA,NA,641400,8.535,20990,1.081,NA,NA,463.9,1.149
verapamil,81,185.9,1.32,NA,NA,NA,NA,3164000,5.374,1847,3.898,NA,NA,498.8,1.031
verapamil,81,193.1,0.9678,NA,NA,NA,NA,4.09E+09,0.9004,44290,5.408,NA,NA,520.7,1.193
verapamil,81,217.9,1.007,NA,NA,NA,NA,1.35E+09,5.454,270800000,4.414,NA,NA,499,1.286
verapamil,81,186,0.8688,NA,NA,NA,NA,884300,0.702,480800000,8.145,NA,NA,414.6,1.297
verapamil,81,189.1,0.9961,NA,NA,NA,NA,36790000,8.539,13450000,3.025,NA,NA,511.2,1.013
verapamil,81,182.9,1.114,NA,NA,NA,NA,7.26E+09,3.244,13010000,5.244,NA,NA,530,1.257
verapamil,81,202.5,1.057,NA,NA,NA,NA,212800000,4.083,20870000,0.6678,NA,NA,449.9,1.132
verapamil,81,199.1,1.04,NA,NA,NA,NA,671200,8.644,576900,8.245,NA,NA,516.2,0.965
verapamil,81,206.5,1.107,NA,NA,NA,NA,758700,8.677,6671000,1.709,NA,NA,488.8,1.391
verapamil,81,178.9,1.036,NA,NA,NA,NA,4507,7.065,10720,1.511,NA,NA,497.2,1.138
verapamil,81,208.5,0.8418,NA,NA,NA,NA,9432000,7.46,45100,4.328,NA,NA,553.5,1.125
verapamil,81,211.5,0.9976,NA,NA,NA,NA,17740,6.866,39420,6.818,NA,NA,519.2,1.033
verapamil,81,218.4,1.136,NA,NA,NA,NA,1080000,1.363,2986,5.17,NA,NA,564.4,0.8299
verapamil,81,199.3,1.164,NA,NA,NA,NA,8072000,0.8321,53180000,6.607,NA,NA,529.9,0.913
verapamil,81,191.7,1.3,NA,NA,NA,NA,10750,2.794,448800,0.8404,NA,NA,552.5,0.9342
verapamil,81,210.2,1.254,NA,NA,NA,NA,123200,1.118,354800,0.3905,NA,NA,488.6,1.089
verapamil,81,217.8,1.111,NA,NA,NA,NA,95000,1.138,1936,3.196,NA,NA,490,1.329
verapamil,81,219.6,1.223,NA,NA,NA,NA,617600,0.8471,1936,3.196,NA,NA,489.5,0.9168
verapamil,81,208.2,0.9399,NA,NA,NA,NA,617600,0.8471,88180000,9.047,NA,NA,531.4,1.138
